,Title,Published_date,Views,Likes,Dislikes,Comments,Month
1958,TPP by MortaL and SouL Clan / PUBG MOBILE,2018-12-05,139814,4349,0,82,Dec
1959,FPP by MortaL and LAST MATCH SERIOTON+MORTAL (Fun War Mode)/ PUBG MOBILE,2018-12-05,177662,5488,0,81,Dec
1960,TPP by MortaL and SouL Clan / PUBG MOBILE Conqueror League Gameplays,2018-12-04,223291,9504,0,81,Dec
1961,10 Chicken Dinners in 11 Matches (Chicken Run) SouL Clan / PUBG MOBILE,2018-12-04,197507,6666,0,84,Dec
1962,Live CONQUEROR LEAGUE CLASSIC GAME-PLAY BY SOUL CLAN \ PUBG MOBILE,2018-12-03,206756,11051,0,125,Dec
1963,"1 Match, 7 Kills Each. (RiP echo)",2018-12-03,82239,3283,0,140,Dec
1964,Exposing Top ranked cheater. | PUBG MOBILE,2018-12-01,167503,14948,0,2431,Dec
1965,Live CONQUEROR LEAGUE CLASSIC GAME-PLAY BY SOUL CLAN \ PUBG MOBILE,2018-11-30,234277,6624,0,255,Nov
1966,PMSC GLOBAL FINALS DAY 1: DUBAI,2018-11-29,139479,4060,0,228,Nov
1967,TOP 50 to TOP 10 Rank PUSH (ENGLISH/HINDI) | PUBG MOBILE Season 4 SouL Clan,2018-11-28,219688,5823,0,144,Nov
1968,Ranked 88. TOP 10 PUSH(ENGLISH/HINDI) | PUBG MOBILE Season 4 SouL Clan,2018-11-28,177218,5141,0,134,Nov
1969,Rank Push by CONQUERORS to TOP 100(ENGLISH/HINDI) | PUBG MOBILE Season 4 SouL Clan,2018-11-27,224292,6951,0,90,Nov
1970,Rank Push by CONQUERORS (ENGLISH/HINDI) | PUBG MOBILE Season 4 SouL Clan,2018-11-26,244626,9067,0,104,Nov
1971,Push to TOP 100 (ENGLISH/HINDI) | PUBG MOBILE Season 4 SouL Clan,2018-11-25,291177,9170,0,150,Nov
1972,Last 5 minutes of this video 🔥🔥 (English/HINDI) | PUBG MOBILE Season 4 SouL Clan,2018-11-24,229851,7997,0,112,Nov
1973,7WG 🙏 Advance Custom Rooms and Rank Push (ENGLISH/HINDI) | PUBG MOBILE Season 4 SouL Clan,2018-11-23,215540,8558,0,151,Nov
1974,LIVE RANK PUSH  | PUBG MOBILE Season 4 SouL Clan,2018-11-23,200694,7206,0,99,Nov
1975,Iconic and Liquid agye | PUBG MOBILE Season 4 RANK PUSH,2018-11-22,254217,8982,0,247,Nov
1976,"Night Full Stream, PAN TRADITION | PUBG MOBILE Season 4 RANK PUSH",2018-11-21,62672,3101,0,41,Nov
1977,8 Matches 8 Wins ☠ !!!! SOUL CLAN | PUBG MOBILE Season 4,2018-11-21,186539,6826,0,175,Nov
1978,"Main Kehe Raha hu naaa, ICONIC TOH LEGEND HAI | PUBG MOBILE NEW UPDATE. Hardcore mode",2018-11-20,121183,4902,0,218,Nov
1979,"Main Kehe Raha hu naaa, ICONIC TOH LEGEND HAI | PUBG MOBILE NEW UPDATE. Hardcore mode",2018-11-20,177155,7475,0,171,Nov
1980,Top Asian League Classic Matches with MortaL and SouL Clan / PUBG MOBILE,2018-11-19,572230,25754,0,857,Nov
1981,Worst Situation ever. Legendary DP-28 | PUBG MOBILE,2018-11-18,2087843,65382,0,3842,Nov
1982,RECORD 51 Kills | BEAST SQUAD | PUBG MOBILE,2018-11-15,13292220,174015,0,6633,Nov
1983,2 Adventurous Matches in 30 minutes | Sit back and enjoy | PUBG MOBILE,2018-11-14,3595675,68430,0,2877,Nov
1984,"Performance, when there is a Girl in your team. | PUBG MOBILE",2018-11-12,1318643,39457,0,3173,Nov
1985,All about killing and winning | PUBG MOBILE (Crew Challenge Day 1},2018-11-10,882505,29334,0,1975,Nov
1986,"My true Supporter did not kill me in the start, ended up being an Awesome Match | PUBG MOBILE",2018-11-07,1318577,33426,0,1778,Nov
1987,"BEAST INCARNATE | Precision, Decision, Limited Aggression | PUBG MOBILE",2018-11-05,826155,22882,0,1102,Nov
1988,9 kills and -1 | TOP LEAGUE HACKER D: | PUBG MOBILE,2018-11-03,463288,16347,0,1146,Nov
1989,USING THE QB FAMILY= QBZ & QBU | ASK ME QUESTIONS. | PUBG MOBILE,2018-11-01,202786,7296,0,905,Nov
1990,GeorgAFTERNOON - BridgeNIGHT - OpenDAY |PUBG MOBILE DAY/NIGHT,2018-10-30,487821,22122,0,1307,Oct
1991,This match took me to 3rd in ASIAN Squad RANKING | PUBG MOBILE,2018-10-28,1242381,39190,0,2536,Oct
1992,M249 + AWM  [BEST SUPER DROP COMBO] | PUBG MOBILE,2018-10-27,346178,17455,0,986,Oct
1993,NEW UPDATE First match FT- RiP ASHIQ | PUBG MOBILE,2018-10-26,324285,12078,0,935,Oct
1994,This match was played after I reached RANK #5 in ASIA (SQUAD),2018-10-23,5709243,233767,0,8012,Oct
1995,Every PUBG player will watch this Ending.,2018-10-21,20538236,1198649,0,28066,Oct
1996,When 8 CONQUERORS Collide CLAN WAR | DEFENDING AN AMBUSH TIPS AND TRICKS | PUBG MOBILE,2018-10-19,2646999,123248,0,2797,Oct
1997,WHAT THE BRIDGE? | 31 SQUAD Kills Conqueror League | PUBG MOBILE,2018-10-18,756566,30219,0,1092,Oct
1998,Fun killing ---- SERIOUS KILLING ---- Fun killing | PUBG MOBILE,2018-10-17,2563366,101037,0,2649,Oct
1999,"0 KILLS, 28 REMAINING | Conqueror LEAGUE is Unexpected & HOW TO reach higher TIERS | PUBG MOBILE",2018-10-14,164661,6313,0,485,Oct
2000,TOP 7 BEST KILLS IN PUBG MOBILE | 300 IQ | SKILLS | EXTRAORDINARY,2018-10-12,143664,7287,0,553,Oct
2001,MIRAMAR SQUAD ACTION and SITUATION TIPS AND TRICKS | PUBG MOBILE | SOUL CLAN,2018-10-10,222960,11609,0,546,Oct
2002,Conqueror WORLD RECORD Flare super drops and Pochinki MASSACRE ENDING| 7? | PUBG MOBILE,2018-10-08,1479734,51560,0,1797,Oct
2003,NEVER GIVE UP: Every Squad Experience in one Video | PUBG MOBILE,2018-10-04,1328977,33223,0,1641,Oct
2004,DUO CONQUERORS vs SQUAD | PUBG MOBILE,2018-10-01,1238004,59034,0,1987,Oct
2005,CONQUEROR SOLO VS SQUAD | How difficult is Conqueror TIER?,2018-09-28,5896518,255512,0,16891,Sep
2006,CONQUEROR TIER | Chutyapa & Skills- PUBG MOBILE,2018-09-26,146418,3184,0,381,Sep
